Article,Vital_Level,Vital_Category,Level_Quota,SubPage_Quota
Christopher Columbus,3,Miscellaneous,15100,1100
Cicero,3,"Philosophers, historians, and social scientists",15100,1400
Circulatory system,3,"Biology, biochemistry, anatomy, and physiology",5600,1100
City,3,Cities,5200,2000
Civil engineering,3,Technology,3200,3200
Classical mechanics,3,Physics,4800,1200
Classical music,3,Arts,3700,3700
Cleopatra,3,Politicians and leaders,15100,2400
Climate change,3,Earth science,4800,1200
Cloud,3,Earth science,4800,1200
Coal,3,Technology,3200,3200
Coffee,3,Everyday life,2500,1300
Cold War,3,History,3300,3300
Colombia,3,Countries and subdivisions,5200,1300
Colonialism,3,Politics and economics,4000,1900
Color,3,Physics,4800,1200
Comet,3,Astronomy,4800,900
Comics,3,Arts,3700,3700
Common cold,3,"Health, medicine, and disease",5600,1100
Communism,3,Politics and economics,4000,1900
Community,3,Social studies,4000,500
Confucianism,3,Philosophy and religion,1400,1400
Confucius,3,"Philosophers, historians, and social scientists",15100,1400
Consciousness,3,Social studies,4000,500
Conservatism,3,Politics and economics,4000,1900
Constitution,3,Politics and economics,4000,1900
Construction,3,Politics and economics,4000,1900
Contemporary history,3,History,3300,3300
Continent,3,Earth science,4800,1200
Cooking,3,Everyday life,2500,1300
Copper,3,Chemistry,4800,1200
Corporation,3,Politics and economics,4000,1900
Crime,3,Politics and economics,4000,1900
Crusades,3,History,3300,3300
Crustacean,3,Animals,5600,2400
Cyrillic script,3,Culture,4000,1600
Cyrus the Great,3,Politicians and leaders,15100,2400
DNA,3,"Biology, biochemistry, anatomy, and physiology",5600,1100
Dance,3,Arts,3700,3700
Dante Alighieri,3,Writers and journalists,15100,2000
Day,3,Basics and measurement,4800,300
Decolonization,3,History,3300,3300
Delhi,3,Cities,5200,2000
Democracy,3,Politics and economics,4000,1900
Democratic Republic of the Congo,3,Countries and subdivisions,5200,1300
Dentistry,3,"Health, medicine, and disease",5600,1100
Desert,3,Earth science,4800,1200
Design,3,Arts,3700,3700
Diabetes,3,"Health, medicine, and disease",5600,1100
Dictatorship,3,Politics and economics,4000,1900
Digestion,3,"Biology, biochemistry, anatomy, and physiology",5600,1100
Dinosaur,3,Animals,5600,2400
Diplomacy,3,Politics and economics,4000,1900
Disability,3,Social studies,4000,500
Discrimination,3,Social studies,4000,500
Dmitri Mendeleev,3,"Scientists, inventors, and mathematicians",15100,1300
Dog,3,Animals,5600,2400
Domestication,3,Technology,3200,3200
Drawing,3,Arts,3700,3700
Dream,3,Social studies,4000,500
Drink,3,Everyday life,2500,1300
Drinking water,3,Everyday life,2500,1300
Drug,3,"Health, medicine, and disease",5600,1100
Ear,3,"Biology, biochemistry, anatomy, and physiology",5600,1100
Early human migrations,3,History,3300,3300
Earth science,3,Earth science,4800,1200
Earthquake,3,Earth science,4800,1200
Eastern Orthodox Church,3,Philosophy and religion,1400,1400
Eastern philosophy,3,Philosophy and religion,1400,1400
Economy,3,Politics and economics,4000,1900
Ecosystem,3,"Biology, biochemistry, anatomy, and physiology",5600,1100
Egg,3,"Biology, biochemistry, anatomy, and physiology",5600,1100
Egypt,3,Countries and subdivisions,5200,1300
Electric battery,3,Technology,3200,3200
Electric motor,3,Technology,3200,3200
Electromagnetic radiation,3,Physics,4800,1200
Electromagnetism,3,Physics,4800,1200
Electron,3,Physics,4800,1200
Elizabeth I,3,Politicians and leaders,15100,2400
Emmy Noether,3,"Scientists, inventors, and mathematicians",15100,1300
Engine,3,Technology,3200,3200
English language,3,Culture,4000,1600
English literature,3,Arts,3700,3700
Environmentalism,3,Social studies,4000,500
Epistemology,3,Philosophy and religion,1400,1400
Erosion,3,Earth science,4800,1200
Ethiopia,3,Countries and subdivisions,5200,1300
Euclid,3,"Scientists, inventors, and mathematicians",15100,1300
Eukaryote,3,"Plants, fungi, and other organisms",5600,1000
European Union,3,Politics and economics,4000,1900
European colonization of the Americas,3,History,3300,3300
Exercise,3,"Health, medicine, and disease",5600,1100
Explosive,3,Technology,3200,3200
Extinction,3,"Biology, biochemistry, anatomy, and physiology",5600,1100
Eye,3,"Biology, biochemistry, anatomy, and physiology",5600,1100
Famine,3,Social studies,4000,500
Fascism,3,Politics and economics,4000,1900
Fashion,3,Arts,3700,3700
Fear,3,Social studies,4000,500
Feminism,3,Social studies,4000,500
Ferdinand Magellan,3,Miscellaneous,15100,1100
Fertilizer,3,Technology,3200,3200
Festival,3,Culture,4000,1600
Fiction,3,Arts,3700,3700
Film,3,Arts,3700,3700
Finance,3,Politics and economics,4000,1900
Firearm,3,Technology,3200,3200
Fish,3,Animals,5600,2400
Fishing,3,Politics and economics,4000,1900
Flood,3,Earth science,4800,1200
Florence Nightingale,3,"Scientists, inventors, and mathematicians",15100,1300
Flower,3,"Biology, biochemistry, anatomy, and physiology",5600,1100
Folk music,3,Arts,3700,3700
Food preservation,3,Everyday life,2500,1300
Force,3,Physics,4800,1200
Forest,3,Earth science,4800,1200
Fossil fuel,3,Technology,3200,3200
France,3,Countries and subdivisions,5200,1300
Free will,3,Philosophy and religion,1400,1400
French Revolution,3,History,3300,3300
French language,3,Culture,4000,1600
Friedrich Nietzsche,3,"Philosophers, historians, and social scientists",15100,1400
Friendship,3,Everyday life,2500,1300
Fruit,3,"Biology, biochemistry, anatomy, and physiology",5600,1100
Fungus,3,"Plants, fungi, and other organisms",5600,1000
Furniture,3,Everyday life,2500,1300
Galaxy,3,Astronomy,4800,900
Galileo Galilei,3,"Scientists, inventors, and mathematicians",15100,1300
Gambling,3,"Sports, games and recreation",2500,1200
Game,3,"Sports, games and recreation",2500,1200
Ganges,3,Physical geography,5200,1900
Garden,3,Technology,3200,3200
Gastroenteritis,3,"Health, medicine, and disease",5600,1100
Gender,3,Everyday life,2500,1300
Gene,3,"Biology, biochemistry, anatomy, and physiology",5600,1100
Genetic engineering,3,Technology,3200,3200
Genetics,3,"Biology, biochemistry, anatomy, and physiology",5600,1100
Genghis Khan,3,Politicians and leaders,15100,2400
Genocide,3,Politics and economics,4000,1900
George Washington,3,Politicians and leaders,15100,2400
German language,3,Culture,4000,1600
Germany,3,Countries and subdivisions,5200,1300
Globalization,3,Politics and economics,4000,1900
God,3,Philosophy and religion,1400,1400
Gold,3,Chemistry,4800,1200
Good and evil,3,Philosophy and religion,1400,1400
Grammar,3,Culture,4000,1600
Grassland,3,Earth science,4800,1200
Gravity,3,Physics,4800,1200
Great Depression,3,History,3300,3300
Great Lakes,3,Physical geography,5200,1900
Great Pyramid of Giza,3,Arts,3700,3700
Great Wall of China,3,Arts,3700,3700
Greek alphabet,3,Culture,4000,1600
Greek language,3,Culture,4000,1600
Greek mythology,3,Philosophy and religion,1400,1400
Gunpowder,3,Technology,3200,3200
Gupta Empire,3,History,3300,3300
HIV/AIDS,3,"Health, medicine, and disease",5600,1100
Hammurabi,3,Politicians and leaders,15100,2400
Han dynasty,3,History,3300,3300
Happiness,3,Social studies,4000,500
Health,3,"Health, medicine, and disease",5600,1100
Heart,3,"Biology, biochemistry, anatomy, and physiology",5600,1100
Heat,3,Physics,4800,1200
Henry Ford,3,Miscellaneous,15100,1100
Heredity,3,"Biology, biochemistry, anatomy, and physiology",5600,1100
Herodotus,3,"Philosophers, historians, and social scientists",15100,1400
Himalayas,3,Physical geography,5200,1900
Hinduism,3,Philosophy and religion,1400,1400
Hindustani language,3,Culture,4000,1600
Hippocrates,3,"Scientists, inventors, and mathematicians",15100,1300
History of Africa,3,History,3300,3300
History of Asia,3,History,3300,3300
History of Earth,3,Earth science,4800,1200
History of East Asia,3,History,3300,3300
History of Europe,3,History,3300,3300
History of India,3,History,3300,3300
History of North America,3,History,3300,3300
History of Oceania,3,History,3300,3300
History of South America,3,History,3300,3300
History of agriculture,3,History,3300,3300
History of architecture,3,History,3300,3300
History of art,3,History,3300,3300
History of film,3,History,3300,3300
History of literature,3,History,3300,3300
History of mathematics,3,History,3300,3300
History of medicine,3,History,3300,3300
History of music,3,History,3300,3300
History of philosophy,3,History,3300,3300
History of technology,3,History,3300,3300
History of the Middle East,3,History,3300,3300
Hokusai,3,"Artists, musicians, and composers",15100,2200
Holy Roman Empire,3,History,3300,3300
Homer,3,Writers and journalists,15100,2000
Hong Kong,3,Cities,5200,2000
Hormone,3,"Biology, biochemistry, anatomy, and physiology",5600,1100
Horse,3,Animals,5600,2400
Hospital,3,"Health, medicine, and disease",5600,1100
Human behavior,3,Social studies,4000,500
Human body,3,"Health, medicine, and disease",5600,1100
Human evolution,3,"Biology, biochemistry, anatomy, and physiology",5600,1100
Human migration,3,Social studies,4000,500
Human rights,3,Social studies,4000,500
Humour,3,Social studies,4000,500
Hunting,3,Politics and economics,4000,1900
Hydrogen,3,Chemistry,4800,1200
Hydropower,3,Technology,3200,3200
Hygiene,3,"Health, medicine, and disease",5600,1100
Ibn Khaldun,3,"Philosophers, historians, and social scientists",15100,1400
Ideology,3,Politics and economics,4000,1900
Immanuel Kant,3,"Philosophers, historians, and social scientists",15100,1400
Immune system,3,"Biology, biochemistry, anatomy, and physiology",5600,1100
Imperialism,3,Politics and economics,4000,1900
Inca Empire,3,History,3300,3300
India,3,Countries and subdivisions,5200,1300
Indian Ocean,3,Physical geography,5200,1900
Indigenous peoples,3,Culture,4000,1600
Indo-European languages,3,Culture,4000,1600
Indonesia,3,Countries and subdivisions,5200,1300
Indus Valley Civilisation,3,History,3300,3300
Industrial Revolution,3,History,3300,3300
Infant,3,Everyday life,2500,1300
Infection,3,"Health, medicine, and disease",5600,1100
Influenza,3,"Health, medicine, and disease",5600,1100
Information,3,Social studies,4000,500
Information Age,3,History,3300,3300
Injury,3,"Health, medicine, and disease",5600,1100
Inorganic chemistry,3,Chemistry,4800,1200
Insect,3,Animals,5600,2400
Insurance,3,Politics and economics,4000,1900
Intelligence,3,"Biology, biochemistry, anatomy, and physiology",5600,1100
Internal structure of Earth,3,Earth science,4800,1200
International Red Cross and Red Crescent Movement,3,Politics and economics,4000,1900
International System of Units,3,Basics and measurement,4800,300
Iran,3,Countries and subdivisions,5200,1300
Iron,3,Chemistry,4800,1200
Iron Age,3,History,3300,3300
Isaac Newton,3,"Scientists, inventors, and mathematicians",15100,1300
Islam,3,Philosophy and religion,1400,1400
Islamic Golden Age,3,History,3300,3300
Island,3,Earth science,4800,1200
Israel,3,Countries and subdivisions,5200,1300
Istanbul,3,Cities,5200,2000
Italy,3,Countries and subdivisions,5200,1300
Jainism,3,Philosophy and religion,1400,1400
Jakarta,3,Cities,5200,2000
James Clerk Maxwell,3,"Scientists, inventors, and mathematicians",15100,1300
James Cook,3,Miscellaneous,15100,1100
Japan,3,Countries and subdivisions,5200,1300
Japanese language,3,Culture,4000,1600
Jazz,3,Arts,3700,3700
Jerusalem,3,Cities,5200,2000
Jesus,3,Religious figures,15100,500
Jewellery,3,Everyday life,2500,1300
Joan of Arc,3,"Military personnel, revolutionaries, and activists",15100,900
Johann Sebastian Bach,3,"Artists, musicians, and composers",15100,2200
Johannes Gutenberg,3,"Scientists, inventors, and mathematicians",15100,1300
John Locke,3,"Philosophers, historians, and social scientists",15100,1400
Joseph Stalin,3,Politicians and leaders,15100,2400
Judaism,3,Philosophy and religion,1400,1400
Julius Caesar,3,Politicians and leaders,15100,2400
Jupiter,3,Astronomy,4800,900
Justice,3,Politics and economics,4000,1900
Karl Marx,3,"Philosophers, historians, and social scientists",15100,1400
Kenya,3,Countries and subdivisions,5200,1300
Knife,3,Technology,3200,3200
Kurt Gödel,3,"Scientists, inventors, and mathematicians",15100,1300
Lagos,3,Cities,5200,2000
Lake,3,Earth science,4800,1200
Lake Victoria,3,Physical geography,5200,1900
Laozi,3,"Philosophers, historians, and social scientists",15100,1400
Latin,3,Culture,4000,1600
Latin script,3,Culture,4000,1600
Learning,3,Culture,4000,1600
Leo Tolstoy,3,Writers and journalists,15100,2000
Leonardo da Vinci,3,"Artists, musicians, and composers",15100,2200
Leonhard Euler,3,"Scientists, inventors, and mathematicians",15100,1300
Li Bai,3,Writers and journalists,15100,2000
Liberalism,3,Politics and economics,4000,1900
Liberty,3,Social studies,4000,500
Library,3,Culture,4000,1600
Light,3,Physics,4800,1200
Linguistics,3,Culture,4000,1600
Lipid,3,"Biology, biochemistry, anatomy, and physiology",5600,1100
Liver,3,"Biology, biochemistry, anatomy, and physiology",5600,1100
London,3,Cities,5200,2000
Louis Armstrong,3,"Artists, musicians, and composers",15100,2200
Louis Pasteur,3,"Scientists, inventors, and mathematicians",15100,1300
Love,3,Social studies,4000,500
Ludwig van Beethoven,3,"Artists, musicians, and composers",15100,2200
Lung,3,"Biology, biochemistry, anatomy, and physiology",5600,1100
Magnetism,3,Physics,4800,1200
Mahayana,3,Philosophy and religion,1400,1400
Maize,3,"Plants, fungi, and other organisms",5600,1000
Malaria,3,"Health, medicine, and disease",5600,1100
Malay language,3,Culture,4000,1600
Malaysia,3,Countries and subdivisions,5200,1300
Mammal,3,Animals,5600,2400
Man,3,Everyday life,2500,1300
Management,3,Politics and economics,4000,1900
Mansa Musa,3,Politicians and leaders,15100,2400
Mao Zedong,3,Politicians and leaders,15100,2400
Marco Polo,3,Miscellaneous,15100,1100
Marie Curie,3,"Scientists, inventors, and mathematicians",15100,1300
Marketing,3,Politics and economics,4000,1900
Marriage,3,Everyday life,2500,1300
Mars,3,Astronomy,4800,900
Martial arts,3,"Sports, games and recreation",2500,1200
Martin Luther,3,Religious figures,15100,500
Mary Wollstonecraft,3,"Philosophers, historians, and social scientists",15100,1400
Mass,3,Physics,4800,1200
Matter,3,Physics,4800,1200
Maya civilization,3,History,3300,3300
Measurement,3,Basics and measurement,4800,300
Meat,3,Everyday life,2500,1300
Mecca,3,Cities,5200,2000
Mechanical engineering,3,Technology,3200,3200
Medical imaging,3,Technology,3200,3200
Medication,3,"Health, medicine, and disease",5600,1100
Meditation,3,Philosophy and religion,1400,1400
Mediterranean Sea,3,Physical geography,5200,1900
Memory,3,Social studies,4000,500
Mental disorder,3,"Health, medicine, and disease",5600,1100
Mental health,3,"Health, medicine, and disease",5600,1100
Mercury (planet),3,Astronomy,4800,900
Mesoamerica,3,History,3300,3300
Mesopotamia,3,History,3300,3300
Metabolism,3,"Biology, biochemistry, anatomy, and physiology",5600,1100
Metal,3,Chemistry,4800,1200
Metaphysics,3,Philosophy and religion,1400,1400
Mexico,3,Countries and subdivisions,5200,1300
Mexico City,3,Cities,5200,2000
Michael Faraday,3,"Scientists, inventors, and mathematicians",15100,1300
Michael Jackson,3,"Artists, musicians, and composers",15100,2200
Michelangelo,3,"Artists, musicians, and composers",15100,2200
Middle Ages,3,History,3300,3300
Middle East,3,Countries and subdivisions,5200,1300
Miguel de Cervantes,3,Writers and journalists,15100,2000
Military,3,Politics and economics,4000,1900
Military history,3,History,3300,3300
Milk,3,Everyday life,2500,1300
Milky Way,3,Astronomy,4800,900
Mineral,3,Earth science,4800,1200
Mining,3,Politics and economics,4000,1900
Mississippi River,3,Physical geography,5200,1900
Modernism,3,Arts,3700,3700
Molecular biology,3,"Biology, biochemistry, anatomy, and physiology",5600,1100
Molecule,3,Chemistry,4800,1200
Mollusca,3,Animals,5600,2400
Momentum,3,Physics,4800,1200
Monarchy,3,Politics and economics,4000,1900
Money,3,Politics and economics,4000,1900
Mongol Empire,3,History,3300,3300
Moscow,3,Cities,5200,2000
Moses,3,Philosophy and religion,1400,1400
Motion,3,Physics,4800,1200
Mountain,3,Earth science,4800,1200
Mughal Empire,3,History,3300,3300
Muhammad,3,Religious figures,15100,500
Mumbai,3,Cities,5200,2000
Murasaki Shikibu,3,Writers and journalists,15100,2000
Museum,3,Arts,3700,3700
Musical instrument,3,Arts,3700,3700
Myanmar,3,Countries and subdivisions,5200,1300
Myth,3,Philosophy and religion,1400,1400
NATO,3,Politics and economics,4000,1900
Napoleon,3,Politicians and leaders,15100,2400
Nationalism,3,Politics and economics,4000,1900
Natural gas,3,Technology,3200,3200
Natural satellite,3,Astronomy,4800,900
Natural selection,3,"Biology, biochemistry, anatomy, and physiology",5600,1100
Nature,3,Basics and measurement,4800,300
Nelson Mandela,3,Politicians and leaders,15100,2400
Neolithic Revolution,3,History,3300,3300
Neptune,3,Astronomy,4800,900
Nervous system,3,"Biology, biochemistry, anatomy, and physiology",5600,1100
Netherlands,3,Countries and subdivisions,5200,1300
Neutron,3,Physics,4800,1200
New York City,3,Cities,5200,2000
New religious movement,3,Philosophy and religion,1400,1400
News,3,Culture,4000,1600
Newton's laws of motion,3,Physics,4800,1200
Niccolò Machiavelli,3,"Philosophers, historians, and social scientists",15100,1400
Nicolaus Copernicus,3,"Scientists, inventors, and mathematicians",15100,1300
Nigeria,3,Countries and subdivisions,5200,1300
Nikola Tesla,3,"Scientists, inventors, and mathematicians",15100,1300
Nile,3,Physical geography,5200,1900
Nitrogen,3,Chemistry,4800,1200
Non-fiction,3,Arts,3700,3700
Novel,3,Arts,3700,3700
Nuclear power,3,Technology,3200,3200
Nursing,3,"Health, medicine, and disease",5600,1100
Nutrition,3,"Health, medicine, and disease",5600,1100
Ocean,3,Earth science,4800,1200
Old age,3,Everyday life,2500,1300
Olympic Games,3,"Sports, games and recreation",2500,1200
Ontology,3,Philosophy and religion,1400,1400
Opera,3,Arts,3700,3700
Optics,3,Physics,4800,1200
Oral tradition,3,Culture,4000,1600
Orbit,3,Astronomy,4800,900
Orchestra,3,Arts,3700,3700
Organic chemistry,3,Chemistry,4800,1200
Organism,3,"Biology, biochemistry, anatomy, and physiology",5600,1100
Ottoman Empire,3,History,3300,3300
Outer space,3,Astronomy,4800,900
Oven,3,Technology,3200,3200
